grid_id,rainfall
1397,0.4671063499200037
1398,0.46906153970531816
1399,0.48983459485542985
1400,0.4392153376914225
1401,0.4235676585311277
1402,0.4488758624456015
1403,0.4539434628493988
1404,0.4322041216287446
1405,0.47439710438536725
1406,0.5066941623012899
1407,0.5445600203602015
1408,0.5659267033642834
1409,0.5714478016091481
1410,0.5721831515681087
1411,0.5961577085733379
1432,0.5476929187584375
1433,0.5866867839726407
1434,0.5909506545750921
1435,0.5403675589445525
1436,0.5646678243709196
1437,0.5499980080280913
1438,0.5296844543078976
1439,0.5075158418774182
1449,0.29051405852416584
1450,0.4546483470185958
1451,0.45742201479440586
1452,0.46588675043512345
1453,0.45289937897568394
1454,0.42757714378132894
1455,0.4117400049014271
1456,0.3796428977129267
1457,0.39743074672022977
1458,0.41206257478929836
1459,0.4614651533740699
1460,0.439536485719278
1461,0.4623111379408384
1462,0.450786547443827
1463,0.46698326663936407
1464,0.4845359829536724
1465,0.48273033261939274
1466,0.5262500563381454
1467,0.5198523686602812
1468,0.5645471262765266
1469,0.6096868053578319
1470,0.6304187540230164
1471,0.604655083550838
1472,0.6017696964308645
1492,0.5523901629007767
1493,0.5408652730548519
1494,0.5590059894088107
1495,0.5369433558192581
1496,0.5575447007339508
1497,0.5605340239572778
1498,0.5629606831565688
1499,0.516376409154199
1509,0.2980745017469896
1510,0.36402257506848845
1511,0.4007281870963646
1512,0.42718369069354933
1513,0.4107327364407302
1514,0.3920417181395684
1515,0.33279951638167504
1516,0.33164659698931626
1517,0.3722125037013951
1518,0.4039493169865644
1519,0.42877164906397236
1520,0.45498016095193244
1521,0.45683636161410046
1522,0.45997309273385184
1523,0.4945064615205017
1524,0.5256216148899217
1525,0.5598142847971435
1526,0.5566517198428816
1527,0.5665184198471676
1528,0.5737599058460201
1529,0.576476280475485
1530,0.6234908688338903
1531,0.6397993132344016
1532,0.6558699435605472
1533,0.6011351469777736
1550,0.46976515004157154
1551,0.4894868159745944
1552,0.5561374197205865
1553,0.5528691387788148
