grid_id,ndvi,lst,urban,flood,vegetation_stress,flood_norm,lst_norm,veg_norm,urban_norm,crii,risk_category
28.0,0.3815470402345297,30.44360470274876,28.324249824458818,6.158578801915902,0.6184529597654703,0.2914932159204391,0.4444496695827951,0.5898362626580913,0.7038375939503644,0.5074041855279224,High
29.0,0.3448689839095322,30.61250225342144,22.644509784052115,6.092339190587493,0.6551310160904678,0.28158179457376376,0.5060105373384385,0.7429073193074203,0.5597124177651278,0.5225530172461876,High
30.0,0.3577877607664571,30.275727395421256,15.55970642631832,5.955247595485445,0.642212239233543,0.26106880340587224,0.3832606666967173,0.6889924987786498,0.3799333213792265,0.42831382256511646,Moderate
31.0,0.4567702438861307,30.3520996450946,6.080165216526671,7.8739409902001265,0.5432297561138693,0.5481625572598305,0.41109731645046743,0.275902089989005,0.1393870045941714,0.3436372420733686,Moderate
32.0,0.4719192083469544,31.593031388938925,1.348388053005072,10.001282129594022,0.5280807916530457,0.8664762363077387,0.863400115823973,0.21267987405110667,0.019316682271286217,0.49046822711352617,Moderate
33.0,0.4037553481095459,31.313805853496437,7.767184249716146,7.570428134726285,0.5962446518904541,0.5027479822886811,0.7616261931536155,0.4971528030248855,0.1821956390838707,0.4859306543877632,Moderate
34.0,0.3237789397406559,31.903915898937957,30.76285387683448,4.885668457913493,0.6762210602593441,0.10102786591409885,0.976713305571872,0.8309238520567508,0.7657179328733246,0.6685957391040116,High
35.0,0.3764394036051952,30.559308221842457,29.627071109996088,6.143489640835225,0.6235605963948048,0.28923542741233677,0.4866220338913436,0.6111523141114557,0.7368970906843892,0.5309767165248813,High
36.0,0.3047509256837746,31.39788027653384,31.36529129236156,4.755761081973206,0.6952490743162254,0.0815898481908135,0.7922701806929506,0.9103347726305331,0.7810049703144258,0.6412999429571807,High
37.0,0.3445412237114525,30.844840319034347,16.935547438951673,6.3912766577856805,0.6554587762885475,0.32631175500513554,0.5906946128317365,0.7442751834985626,0.41484571647793905,0.5190318169533434,High
38.0,0.390199976027024,30.12678829738843,8.69025109434307,7.761031799100689,0.609800023972976,0.5312679749327924,0.3289743843845905,0.5537243702192001,0.20561874835756197,0.40489636947353624,Moderate
39.0,0.445669363081617,30.813183965971405,3.883299476352658,8.773380129973704,0.554330636918383,0.6827454769238503,0.5791563012530787,0.32223015981442504,0.08364085079041071,0.4169431971954412,Moderate
40.0,0.4534457733337046,31.566332926615985,4.148592541573503,9.05839936113744,0.5465542266662954,0.7253928541550281,0.8536688882141252,0.28977633173590567,0.09037274511896486,0.48980270480600596,Moderate
41.0,0.4250040964325531,31.263618877997374,7.3205178158626385,8.064378746840429,0.5749959035674469,0.5766577251589837,0.7433337208859676,0.4084739393070822,0.17086133891921768,0.4748316810678128,Moderate
42.0,0.4105202582966235,30.60626614652045,10.213777024895734,7.351741356100291,0.5894797417033766,0.4700259182179376,0.5037375609056074,0.4689203377792279,0.24427869434127925,0.42174062781101307,Moderate
43.0,0.3874976221258763,29.96029104204604,14.646777311217074,6.6161217267042405,0.6125023778741236,0.35995528296494306,0.26828839174000585,0.5650022897311779,0.356767460156258,0.3875033561480962,Moderate
44.0,0.3586160140565045,30.287862992971725,9.947480962822016,7.080960285555109,0.6413839859434955,0.4295089944459818,0.38768392750165326,0.6855358923228043,0.23752134865454583,0.4350625407312463,Moderate
45.0,0.4509954332507033,30.12454443654076,4.096765763312281,8.656420676177422,0.5490045667492967,0.6652448545046667,0.3281565275219229,0.30000250463699185,0.08905762444532979,0.34561537777722784,Moderate
46.0,0.4467215642146896,30.49543839700158,2.8930282886733307,9.223887863713529,0.5532784357853104,0.7501548695740183,0.4633423485143453,0.31783893641316574,0.058512410337134835,0.39746214120966605,Moderate
47.0,0.4128764453305561,29.94088994943729,3.949572964483922,10.27588653055827,0.5871235546694439,0.9075652443351867,0.26121695647261767,0.4590871002774439,0.08532256123584946,0.42829796558027444,Moderate
48.0,0.4861355475645637,31.464095854070933,1.662262180717323,9.988707009448856,0.5138644524354363,0.8645946233008948,0.8164048611302306,0.1533498472240944,0.027281336222821008,0.4654076669695102,Moderate
49.0,0.507972889865248,30.63742194649581,2.248668224052444,9.521795468433991,0.492027110134752,0.7947307318646983,0.5150934276690133,0.06221456375214318,0.04216157259112317,0.3535500739692445,Moderate
