grid_id,lat_min,lat_max,lon_min,lon_max,ndvi,lst,urban,flood,rainfall,data_completeness
869,13.0,13.5,82.5,83.0,0.5050464062119746,30.703848003223612,0.0,0.9994879866231365,0.004691785421506478,0.0
870,13.0,13.5,83.0,83.5,0.5498318678100339,30.470385397197305,0.0,0.9995227724810729,0.004841258192767903,0.0
871,13.0,13.5,83.5,84.0,0.5791872021364487,30.385030532511752,0.0,0.9996569540579548,0.00495013300802008,0.0
872,13.0,13.5,84.0,84.5,0.5910632305335458,30.364356825530894,0.0,0.9997757181538462,0.005036622926066796,0.0
873,13.0,13.5,84.5,85.0,0.5976664425248883,30.348826872527518,0.0,0.9997854023423192,0.005109455430045513,0.0
874,13.0,13.5,85.0,85.5,0.6061714282082087,30.31550112554676,0.0,0.9997265899195132,0.005160863490021291,0.0
875,13.0,13.5,85.5,86.0,0.6153938398984751,30.26886593928211,0.0,0.9995406380669581,0.005187397993014289,0.0
876,13.0,13.5,86.0,86.5,0.6220993902725402,30.22726559184074,0.0,0.9992811921774387,0.005196705482914784,0.0
877,13.0,13.5,86.5,87.0,0.6253121393203318,30.203267511019888,0.0,0.9990543811035468,0.005198697108069441,0.0
878,13.0,13.5,87.0,87.5,0.6262740578640251,30.194337003978937,0.0,0.9989126241823644,0.0051988934515425,0.0
879,13.0,13.5,87.5,88.0,0.626433518946091,30.192215672749136,0.0,0.9988496211062833,0.0051988934515425,0.0
880,13.0,13.5,88.0,88.5,0.6264441598085633,30.191897422970122,0.0,0.998830720183459,0.0051988934515425,0.0
881,13.0,13.5,88.5,89.0,0.6264441598085633,30.191870902155202,0.0,0.9988272836520364,0.0051988934515425,0.0
882,13.0,13.5,89.0,89.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
883,13.0,13.5,89.5,90.0,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
884,13.0,13.5,90.0,90.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
885,13.0,13.5,90.5,91.0,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
886,13.0,13.5,91.0,91.5,0.6264441598085633,30.191870902155202,0.0,0.9988269972744178,0.0051988934515425,0.0
887,13.0,13.5,91.5,92.0,0.6264441598085633,30.191870902155202,0.0,0.999413498637209,0.0051988934515425,0.2
888,13.0,13.5,92.0,92.5,0.6277130557330945,27.60425847289046,0.0,1.0,0.005663864804167,0.4
889,13.0,13.5,92.5,93.0,0.6931754285410905,27.43525027512247,0.0059322459767013,0.9899526142255772,0.0057104815918779,1.0
890,13.0,13.5,93.0,93.5,0.59580693972128,27.15162426567284,0.0026092422160109,0.9967959961894308,0.0056287133591911,1.0
891,13.0,13.5,93.5,94.0,0.4478960888264551,27.096990293130624,0.0,0.9994777816895081,0.005702103226521068,0.2
892,13.0,13.5,94.0,94.5,0.4089608352934489,25.576920088444727,0.0,0.9995212014722503,0.00570433802482145,0.6
