grid_id,lat_min,lat_max,lon_min,lon_max,ndvi,lst,urban,flood,rainfall,data_completeness,agro_zone,ndvi_baseline,vegetation_stress,flood_norm,lst_norm,veg_norm,urban_norm,rainfall_norm,crii,risk_category,crii_uncertainty
2400,26.0,26.5,68.0,68.5,0.373836211296479,31.52057609533651,1.420499851667811,0.5259367130278675,0.0004219687522681,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.5428553301724844,0.6473638233743298,0.0,0.3120140886276692,0.012607931919631077,0.34282465422901287,Moderate,0.03
2401,26.0,26.5,68.5,69.0,0.3328845549193326,32.50580070513155,0.8799510019886154,0.4894088020549288,0.0004596297795276,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.49315713328519556,0.682756314893842,0.0,0.19327670610480216,0.028174451826519408,0.32079405928960464,Moderate,0.03
2402,26.0,26.5,69.0,69.5,0.1530042910179398,37.422488609862704,0.063523595697472,0.7334277124619789,0.000469023266438,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.5197062633741638,0.8251580479451015,0.8593798312395065,0.7823547056005486,0.01393962435821092,0.03205708359803998,0.5831980174571939,High,0.03
2403,26.0,26.5,69.5,70.0,0.1069468233437462,39.92683525255842,0.0003461130788576,0.6971115271462959,0.0004874234823748,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.6642837031580496,0.7757479152563972,0.949344156564232,0.9999984946213645,6.200918065535229e-05,0.03966248760621104,0.6315787843816346,High,0.03
2404,26.0,26.5,70.0,70.5,0.189977353743808,38.69811323727838,0.0086555067922135,0.6488095238095238,0.0006211029011574,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.40364537206141465,0.7100304294231728,0.9052044415456602,0.6076391194053696,0.001887257093885386,0.09491651239109508,0.5326257416654199,High,0.03
2405,26.0,26.5,70.5,71.0,0.1850908737953037,37.70131643811568,0.0363376212467801,0.2596969696969697,0.0009133586170902,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.418984356078243,0.18062177148135905,0.869396239121259,0.6307300982340344,0.00796793197643184,0.21571524654729757,0.39270214621780447,Moderate,0.03
2406,26.0,26.5,71.0,71.5,0.1976315928979446,36.74055536954504,0.1144511986311272,0.2245532245532245,0.0009947967540463,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.37961820868745655,0.13280680700653638,0.8348825580442731,0.5714691409913981,0.025126421396248984,0.24937626092622026,0.36551642947975127,Moderate,0.03
2407,26.0,26.5,71.5,72.0,0.2155474140820435,36.581688133637,0.1271299110934882,0.3509544787077827,0.0010415186251862,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.32337926006036455,0.30478254414703015,0.8291755271360893,0.4868082292471887,0.027911437278595685,0.268687920488105,0.4002694512205427,Moderate,0.03
2408,26.0,26.5,72.0,72.5,0.2374362509298049,36.6578797955665,0.3095781463863663,0.3383882149046793,0.0012140247167017,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.2546687522729446,0.28768546314814925,0.8319125809224928,0.38337289879209013,0.06798815914647004,0.3399902641319088,0.38933504035814204,Moderate,0.03
2409,26.0,26.5,72.5,73.0,0.2796781345366211,35.44833022435875,1.179920275437528,0.5439919694744403,0.0013094154135001,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.12206868344752994,0.5674204822940232,0.788461602824914,0.18375958812118967,0.25916819100528493,0.3794183224908235,0.4566727525648672,Moderate,0.03
2410,26.0,26.5,73.0,73.5,0.3088474573483137,35.057785411752135,1.8497840329187045,0.3995890687113801,0.0013170225423519,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.030504248290640915,0.3709525321138208,0.7744319553407281,0.045920443667635084,0.40631098717893627,0.382562594735175,0.38972436361116725,Moderate,0.03
2411,26.0,26.5,73.5,74.0,0.3182793049030728,34.89487455586943,1.0373805125740447,0.3016601438483474,0.001320726767854,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0008970544790924771,0.23771493765053228,0.7685796643728191,0.0013504066476735439,0.22785779536225526,0.384093670869151,0.3130710665760885,Moderate,0.03
2412,26.0,26.5,74.0,74.5,0.3566882549378276,33.18570392720012,1.2655058460429418,0.4323086781945002,0.0013253707360061,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.41546932901939754,0.7071806631915941,0.0,0.2779679842921339,0.38601317301625154,0.36022650467231276,Moderate,0.03
2413,26.0,26.5,74.5,75.0,0.3857506696107023,32.49649618245843,1.3244239440510623,0.3631398181534864,0.0015288774151758,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.3213613569720963,0.6824220659961515,0.0,0.2909099797193036,0.47012906158858925,0.33831750324730114,Moderate,0.03
2414,26.0,26.5,75.0,75.5,0.3992325426076675,32.54448225420216,0.64238052556388,0.302658763015972,0.0016349827945367,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.23907361299456706,0.684145882697805,0.0,0.14109178969599886,0.5139858445878567,0.2961590813898656,Moderate,0.03
2415,26.0,26.5,75.5,76.0,0.3944069455457252,32.32804629198977,0.833987780939849,0.3161124791949926,0.0015231055336282,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.2573781209097887,0.6763707947828644,0.0,0.18318038906909037,0.4677433563768905,0.30113818801163966,Moderate,0.03
2416,26.0,26.5,76.0,76.5,0.4165644710044316,31.72331262387842,0.8943365938139048,0.34074405269474,0.0016508333137418,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.29089070777359993,0.6546467828089381,0.0,0.19643665644118885,0.5205373765214013,0.314561900806839,Moderate,0.03
2417,26.0,26.5,76.5,77.0,0.4165398773921576,31.536933609500394,0.5825770544764688,0.4579223446648981,0.0019906577519978,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.45031810644316644,0.6479514388029032,0.0,0.12795531252670064,0.6609978012068377,0.36881442725054225,Moderate,0.03
2418,26.0,26.5,77.0,77.5,0.4251686990018919,31.14129943233124,0.2875118579235247,0.5625005688849698,0.0022604341946835,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.592602432017179,0.6337389646918459,0.0,0.06314106098757592,0.7725051251186451,0.41496234565156936,Moderate,0.03
2419,26.0,26.5,77.5,78.0,0.4241023589541181,31.31571401292526,0.5174090480102027,0.6333033299497576,0.002429903540747,1.0,Trans_Gangetic_Plain,0.31856507602846107,0.0,0.6889334147051386,0.64000450709018,0.0,0.11364045732604675,0.8425522837085471,0.4640267657411873,Moderate,0.03
2420,26.0,26.5,78.0,78.5,0.4266377731077928,31.403811792280514,1.3932214357861834,0.3334532436222261,0.0025797565212074,1.0,Middle_Gangetic_Plain,0.4817986182638877,0.11448918401982346,0.24204895474801918,0.9439550080577662,0.13090810565235875,0.35641683513873607,0.14677355936079758,0.37154163077091223,Moderate,0.03
2421,26.0,26.5,78.5,79.0,0.42111806524908,31.57545046046149,0.5079401379732448,0.3611128970703083,0.0028165474104156,1.0,Middle_Gangetic_Plain,0.4817986182638877,0.1259456228576175,0.2751178121213848,0.9496698457557526,0.14400751516092905,0.12994231337978113,0.1702042234349657,0.35361493652116527,Moderate,0.03
2422,26.0,26.5,79.0,79.5,0.4412667274670229,31.41739812397152,0.8720360597492093,0.5222576707604488,0.002912998581002,1.0,Middle_Gangetic_Plain,0.4817986182638877,0.08412603343879153,0.46777653605026387,0.9444073751225306,0.09619056828645366,0.22308609712660668,0.1797481505055008,0.4136269942581077,Moderate,0.03
2423,26.0,26.5,79.5,80.0,0.4454929584500585,31.15887791741289,0.7976486120083807,0.5250508610730784,0.0029088735105665,1.0,Middle_Gangetic_Plain,0.4817986182638877,0.07535427268425969,0.4711159709509357,0.9357997516901773,0.0861608471958339,0.2040561439426943,0.17933997120443193,0.4077875016223296,Moderate,0.03
