grid_id,spi3_mean,spi3_min,drought_flag,rainfall
349,-0.9960538493495179,-1.763644088724366,1,0.6660089748915863
351,-0.9518878375282149,-1.5912962232015135,1,0.6586479729213691
359,-0.06991407374415635,-1.297753655099764,1,0.5116523456240261
376,-0.09228206517805518,-1.0232020710615533,1,0.5153803441963426
377,-0.07094268729044456,-0.8398570606026122,0,0.5118237812150741
378,-0.1439763629150887,-1.3025864070916704,1,0.5239960604858481
379,0.1833243063405865,-1.604479691768233,1,0.4694459489432356
380,0.6779470145028561,-1.346928938964262,1,0.3870088309161906
381,0.755554198014659,-1.345380796790517,1,0.3740743003308902
382,0.6809352994679536,-1.0988630648182687,1,0.3865107834220078
383,1.0657592861566187,-0.8899502515981549,0,0.3223734523072302
384,0.8387303559707944,-0.8263556822872326,0,0.36021160733820096
385,0.7550769372136272,-0.604893477360785,0,0.37415384379772876
409,-1.066847555912212,-1.5868754662654436,1,0.6778079259853685
419,0.05700371842937834,-1.3496201458614812,1,0.4904993802617703
436,-0.32450669238541635,-1.1695112501463838,1,0.5540844487309028
437,-0.371643569362169,-1.2619004203624742,1,0.5619405948936949
438,-0.33455991266010354,-1.47107536089817,1,0.5557599854433506
439,-0.03729975467374996,-1.4785535144756998,1,0.5062166257789583
440,0.47146140165789757,-1.5161131819825406,1,0.4214230997236837
441,0.6860766040876993,-1.4417719340359139,1,0.3856538993187168
442,0.49724333880817284,-1.453268246034693,1,0.4171261101986379
443,0.9592213373288258,-0.9997087815622332,0,0.3401297771118624
444,1.2174963585829754,-0.8922859299104222,0,0.29708394023617074
445,1.4705796857225806,-0.7828149087829749,0,0.2549033857129032
479,-0.06459120924966216,-1.4027404319873487,1,0.5107652015416103
491,-0.31197714329408716,-1.0685073676454098,1,0.5519961905490145
496,-0.4319541752663723,-1.38531285330652,1,0.5719923625443953
497,-0.4552324506046771,-1.7042467424343792,1,0.5758720751007795
498,-0.2186738456573427,-1.6527116125700394,1,0.5364456409428905
499,-0.1885857768976569,-1.5488213058277516,1,0.5314309628162762
500,0.13035249138938787,-1.3721672707405395,1,0.4782745847684353
501,0.5705511497382485,-1.1747801545081016,1,0.40490814171029194
502,0.7249009976135168,-1.4789710809831027,1,0.37918316706441385
503,0.5971883624282969,-1.6098240680385771,1,0.4004686062619505
539,-0.42736008074352905,-1.1925627739591056,1,0.5712266801239215
